peak intensity (photon),x(nm),y(nm),z(nm),PSFSigmaX (nm),PSFSigmaY (nm),Total intensity(photon),background (photon),SNR,Localization precision X(nm),Localization precision Y(nm),frame
1.1480548095703125e+02,3.9512543945312500e+03,1.8442359619140625e+03,0.0000000000000000e+00,6.5204895019531250e+01,6.5204895019531250e+01,2.6391583251953125e+02,1.4951155090332031e+02,6.3945055007934570e+00,1.3154633522033691e+01,1.3154632568359375e+01,1.0000000000000000e+00
1.0219335937500000e+02,5.5813476562500000e+03,2.8076525878906250e+03,0.0000000000000000e+00,1.1827807617187500e+02,1.1827807617187500e+02,7.7298944091796875e+02,1.1998738098144531e+02,6.2083530426025391e+00,1.1955248832702637e+01,1.1955248832702637e+01,1.0000000000000000e+00
3.3392074584960938e+02,4.6294721679687500e+03,2.6477058105468750e+03,0.0000000000000000e+00,9.7536102294921875e+01,9.7536102294921875e+01,1.7175786132812500e+03,1.5273330688476563e+02,1.3706928253173828e+01,4.7819623947143546e+00,4.7819623947143546e+00,1.0000000000000000e+00
1.3225205993652344e+02,5.3513779296875000e+03,2.6094323730468750e+03,0.0000000000000000e+00,1.0279985046386719e+02,1.0279985046386719e+02,7.5566589355468750e+02,1.3966743469238281e+02,7.2625513076782227e+00,1.0069502830505371e+01,1.0069502830505371e+01,1.0000000000000000e+00
1.5129383850097656e+02,4.0955839843750000e+03,3.8968803710937500e+03,0.0000000000000000e+00,1.0907382202148438e+02,1.0907382202148438e+02,9.7320574951171875e+02,1.3603771972656250e+02,8.0823287963867188e+00,8.8713397979736328e+00,8.8713388442993164e+00,1.0000000000000000e+00
1.2869190979003906e+02,4.4493686523437500e+03,3.9426413574218750e+03,0.0000000000000000e+00,1.4685444641113281e+02,1.4685444641113281e+02,1.5006098632812500e+03,1.2008196258544922e+02,7.3884916305541992e+00,9.6570558547973633e+00,9.6570568084716797e+00,1.0000000000000000e+00
9.5285621643066406e+01,4.5021962890625000e+03,3.8537875976562500e+03,0.0000000000000000e+00,1.1005155944824219e+02,1.1005155944824219e+02,6.2396771240234375e+02,1.1091415405273438e+02,6.0088338851928711e+00,1.2256075859069824e+01,1.2256075859069824e+01,2.0000000000000000e+00
2.5940133666992188e+02,4.6391962890625000e+03,2.6541538085937500e+03,0.0000000000000000e+00,1.1054843139648438e+02,1.1054843139648438e+02,1.7140354003906250e+03,1.3202972412109375e+02,1.1872755050659180e+01,5.6013507843017578e+00,5.6013507843017578e+00,2.0000000000000000e+00
4.0073284912109375e+02,5.5725375976562500e+03,2.8404418945312500e+03,0.0000000000000000e+00,8.6717140197753906e+01,8.6717140197753906e+01,1.6293229980468750e+03,1.6670411682128906e+02,1.5233618736267090e+01,4.2354831695556641e+00,4.2354836463928223e+00,2.0000000000000000e+00
6.6892066955566406e+01,4.9760385742187500e+03,3.7132243652343750e+03,0.0000000000000000e+00,1.0452978515625000e+02,1.0452978515625000e+02,3.9518194580078125e+02,1.1263282775878906e+02,4.5208406448364258e+00,1.7425552368164063e+01,1.7425552368164063e+01,2.0000000000000000e+00
2.1996749877929688e+02,4.6076801757812500e+03,2.6523381347656250e+03,0.0000000000000000e+00,1.0684384155273438e+02,1.0684384155273438e+02,1.3576876220703125e+03,1.4401817321777344e+02,1.0440548896789551e+01,6.5719885826110840e+00,6.5719895362854004e+00,3.0000000000000000e+00
