x(nm),y(nm),z(nm),clusters,LocType
3.9512543945312500e+03,1.8442359619140625e+03,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
5.5813476562500000e+03,2.8076525878906250e+03,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
4.6294721679687500e+03,2.6477058105468750e+03,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
5.3513779296875000e+03,2.6094323730468750e+03,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
4.0955839843750000e+03,3.8968803710937500e+03,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00
4.4493686523437500e+03,3.9426413574218750e+03,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00
4.5021962890625000e+03,3.8537875976562500e+03,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00
4.6391962890625000e+03,2.6541538085937500e+03,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
5.5725375976562500e+03,2.8404418945312500e+03,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
4.9760385742187500e+03,3.7132243652343750e+03,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00
4.6076801757812500e+03,2.6523381347656250e+03,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
4.3734536132812500e+03,2.8429057617187500e+03,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00
5.5758867187500000e+03,2.8110539550781250e+03,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
4.0700092773437500e+03,3.8927058105468750e+03,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00
5.5823408203125000e+03,2.8646284179687500e+03,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00
4.0818720703125000e+03,3.8691638183593750e+03,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00
