H(r),r
1.8960045179154537e+01,0.0000000000000000e+00
2.9426210645726698e+01,1.0000000000000000e+01
3.8712328738781935e+01,2.0000000000000000e+01
4.4996713556966938e+01,3.0000000000000000e+01
4.8492773725147728e+01,4.0000000000000000e+01
5.0305730225159166e+01,5.0000000000000000e+01
5.0940176351142171e+01,6.0000000000000000e+01
5.0871591251055676e+01,7.0000000000000000e+01
5.0339571873178414e+01,8.0000000000000000e+01
4.9488439462042010e+01,9.0000000000000000e+01
4.8432510507195332e+01,1.0000000000000000e+02
4.7278171426677375e+01,1.1000000000000000e+02
4.5928221036844803e+01,1.2000000000000000e+02
4.4420667081373324e+01,1.3000000000000000e+02
4.2785133953992897e+01,1.4000000000000000e+02
4.1133619391049422e+01,1.5000000000000000e+02
3.9341350902823734e+01,1.6000000000000000e+02
3.7432522260961008e+01,1.7000000000000000e+02
3.5388947521733940e+01,1.8000000000000000e+02
3.3353360655359893e+01,1.9000000000000000e+02
3.1222339993735858e+01,2.0000000000000000e+02
2.9133584624599706e+01,2.1000000000000000e+02
2.6858754742595352e+01,2.2000000000000000e+02
2.4442748781083822e+01,2.3000000000000000e+02
2.2023894411975789e+01,2.4000000000000000e+02
1.9521447096838529e+01,2.5000000000000000e+02
1.7061206453124555e+01,2.6000000000000000e+02
1.4474260154369574e+01,2.7000000000000000e+02
1.1308364387764641e+01,2.8000000000000000e+02
